"","id","Longitude","Latitude","Altitude","VelocityX","VelocityY","VelocityZ","DroneHeading","Battery","Voltage","Current","Date","Method","VelocitySolid","Power","Velocity"
"681",9434,151.227306724306,-33.9313972262021,10.1000003814697,-1.29999995231628,7.90000009536743,0,99.3,32,14547,-8344,"2016-08-29 13:42:17","8 ms final",8,121.380168,8.00624764685853
"682",9435,151.227393003992,-33.931409173963,10.1000003814697,-1.39999997615814,7.90000009536743,0,98.8,32,14563,-7805,"2016-08-29 13:42:18","8 ms final",8,113.664215,8.02309176315765
"683",9436,151.227479282009,-33.9314218197859,10,-1.39999997615814,7.90000009536743,0,98.3,31,14556,-8720,"2016-08-29 13:42:19","8 ms final",8,126.92832,8.02309176315765
"684",9437,151.227565637241,-33.9314353647777,10,-1.5,7.90000009536743,0,98.1,31,14533,-8794,"2016-08-29 13:42:20","8 ms final",8,127.803202,8.04114429088332
"685",9438,151.227651574171,-33.93144830149,10,-1.39999997615814,7.90000009536743,0.100000001490116,98.6,31,14539,-8667,"2016-08-29 13:42:21","8 ms final",8,126.009513,8.02371494012258
"686",9439,151.227737184457,-33.9314603219949,10,-1.29999995231628,7.90000009536743,0,98.7,31,14533,-8572,"2016-08-29 13:42:22","8 ms final",8,124.576876,8.00624764685853
"687",9440,151.227823291083,-33.9314723246609,9.89999961853027,-1.29999995231628,7.90000009536743,0,98.7,31,14523,-8951,"2016-08-29 13:42:23","8 ms final",8,129.995373,8.00624764685853
"688",9441,151.227909333915,-33.9314838269121,9.89999961853027,-1.29999995231628,7.90000009536743,0,98.7,31,14526,-8784,"2016-08-29 13:42:24","8 ms final",8,127.596384,8.00624764685853
"689",9442,151.227994839327,-33.9314956085292,10,-1.29999995231628,7.90000009536743,0,98.9,31,14549,-8453,"2016-08-29 13:42:25","8 ms final",8,122.982697,8.00624764685853
"691",9444,151.228166004253,-33.931520115077,10,-1.29999995231628,7.90000009536743,0,99,31,14537,-8552,"2016-08-29 13:42:27","8 ms final",8,124.320424,8.00624764685853
"692",9445,151.228251652507,-33.931532752511,10,-1.29999995231628,7.90000009536743,0,99.3,31,14527,-8780,"2016-08-29 13:42:28","8 ms final",8,127.54706,8.00624764685853
"693",9446,151.228337465582,-33.9315447903408,10,-1.20000004768372,7.90000009536743,0,99,31,14525,-8930,"2016-08-29 13:42:29","8 ms final",8,129.70825,7.99061960183604
"694",9447,151.228423728275,-33.9315562022979,10,-1.20000004768372,7.90000009536743,0,99,31,14515,-8509,"2016-08-29 13:42:30","8 ms final",8,123.508135,7.99061960183604
"697",9450,151.228678717262,-33.9315901974036,9.80000019073486,-1.20000004768372,7.90000009536743,0,98.8,31,14488,-9557,"2016-08-29 13:42:33","8 ms final",8,138.461816,7.99061960183604
"698",9451,151.228764482727,-33.931602616468,9.89999961853027,-1.29999995231628,7.90000009536743,0,98.6,31,14491,-9412,"2016-08-29 13:42:34","8 ms final",8,136.389292,8.00624764685853
"699",9452,151.228850226992,-33.9316151901375,9.89999961853027,-1.29999995231628,7.90000009536743,0,98.7,31,14492,-9350,"2016-08-29 13:42:35","8 ms final",8,135.5002,8.00624764685853
"700",9453,151.228935897122,-33.9316272871594,9.89999961853027,-1.20000004768372,7.90000009536743,0,99.1,31,14482,-9394,"2016-08-29 13:42:36","8 ms final",8,136.043908,7.99061960183604
"716",9469,151.228703891497,-33.931595427691,10.1000003814697,1.29999995231628,-7.90000009536743,0,-80.9,30,14407,-10939,"2016-08-29 13:42:52","8 ms final",8,157.598173,8.00624764685853
"717",9470,151.228617618666,-33.9315840126992,10.1000003814697,1.20000004768372,-7.90000009536743,0,-81.2,30,14404,-9866,"2016-08-29 13:42:53","8 ms final",8,142.109864,7.99061960183604
"718",9471,151.228531166001,-33.9315738987378,10.1999998092651,1.20000004768372,-7.90000009536743,0,-80.6,30,14404,-9866,"2016-08-29 13:42:54","8 ms final",8,142.109864,7.99061960183604
"719",9472,151.228444759087,-33.931562941334,10.1999998092651,1.20000004768372,-7.90000009536743,0,-80.2,30,14402,-10240,"2016-08-29 13:42:55","8 ms final",8,147.47648,7.99061960183604
"720",9473,151.228358536064,-33.9315520964578,10.1999998092651,1.20000004768372,-7.90000009536743,0.100000001490116,-80.5,30,14421,-9786,"2016-08-29 13:42:56","8 ms final",8,141.123906,7.99124531106037
"721",9474,151.22827292508,-33.931540754856,10.1999998092651,1.29999995231628,-7.90000009536743,0.100000001490116,-81.3,30,14413,-9932,"2016-08-29 13:42:57","8 ms final",8,143.149916,8.00687213480556
"723",9476,151.228100465013,-33.9315172587875,10.1000003814697,1.29999995231628,-7.90000009536743,0,-80.7,30,14464,-9029,"2016-08-29 13:42:59","8 ms final",8,130.595456,8.00624764685853
"724",9477,151.2280231961,-33.931507266465,10.1000003814697,1.20000004768372,-7.90000009536743,0,-80.5,30,14469,-9262,"2016-08-29 13:43:00","8 ms final",8,134.011878,7.99061960183604
"725",9478,151.227928845816,-33.9314946950575,10.1000003814697,1.20000004768372,-7.90000009536743,0,-81,29,14426,-10144,"2016-08-29 13:43:01","8 ms final",8,146.337344,7.99061960183604
"728",9481,151.227673137755,-33.9314582733575,10.1000003814697,1.20000004768372,-7.90000009536743,0.100000001490116,-81.2,29,14462,-9086,"2016-08-29 13:43:04","8 ms final",8,131.401732,7.99124531106037
"729",9482,151.227587011913,-33.9314473179783,10,1.20000004768372,-7.90000009536743,0,-81.5,29,14448,-9493,"2016-08-29 13:43:05","8 ms final",8,137.154864,7.99061960183604
"731",9484,151.227416166649,-33.9314262765124,10,1.10000002384186,-7.90000009536743,0,-80.1,29,14484,-8277,"2016-08-29 13:43:07","8 ms final",8,119.884068,7.97621473878791
"732",9485,151.227330325117,-33.9314148797171,10,1.20000004768372,-7.90000009536743,0,-80.2,29,14484,-8277,"2016-08-29 13:43:08","8 ms final",8,119.884068,7.99061960183604
"733",9486,151.227244250857,-33.93140359999,10,1.10000002384186,-8,0,-80.1,29,14436,-9409,"2016-08-29 13:43:09","8 ms final",8,135.828324,8.07527089653667
"735",9488,151.227074147234,-33.9313819971919,10,1.20000004768372,-7.90000009536743,0,-80.6,29,14442,-9477,"2016-08-29 13:43:11","8 ms final",8,136.866834,7.99061960183604
"736",9489,151.226988292655,-33.9313702867653,10,1.20000004768372,-7.90000009536743,0,-81.4,29,14407,-10192,"2016-08-29 13:43:12","8 ms final",8,146.836144,7.99061960183604
"737",9490,151.226902747934,-33.9313587497313,10,1.20000004768372,-7.90000009536743,0,-81.9,29,14410,-9900,"2016-08-29 13:43:13","8 ms final",8,142.659,7.99061960183604
"738",9491,151.2268174159,-33.9313467961609,10,1.20000004768372,-7.90000009536743,0,-81.5,29,14405,-10133,"2016-08-29 13:43:14","8 ms final",8,145.965865,7.99061960183604
"739",9492,151.226739786945,-33.9313363656762,9.89999961853027,0.899999976158142,-5.90000009536743,0,-81.7,29,14452,-8979,"2016-08-29 13:43:15","8 ms final",8,129.764508,5.96824941523227
"768",9521,151.227211625117,-33.9313906958722,10.1000003814697,-1.5,8.89999961853027,0,97.6,24,14455,-8552,"2016-08-29 13:45:01","9 ms final",9,123.61916,9.02551899947249
"771",9524,151.22750414577,-33.9314304113445,10.1000003814697,-1.5,8.89999961853027,0,97.9,24,14436,-8935,"2016-08-29 13:45:04","9 ms final",9,128.98566,9.02551899947249
"772",9525,151.227600275222,-33.931443756521,10.1999998092651,-1.39999997615814,8.89999961853027,0,98,24,14468,-8228,"2016-08-29 13:45:05","9 ms final",9,119.042704,9.0094391136786
"773",9526,151.227687322618,-33.9314553714384,10.1999998092651,-1.39999997615814,8.89999961853027,0,98,24,14449,-8869,"2016-08-29 13:45:06","9 ms final",9,128.148181,9.0094391136786
"774",9527,151.227793720427,-33.9314681287111,10.1999998092651,-1.29999995231628,8.89999961853027,0.100000001490116,98,24,14437,-9175,"2016-08-29 13:45:07","9 ms final",9,132.459475,8.99499822602313
"775",9528,151.227890594214,-33.9314793117321,10.1000003814697,-1.29999995231628,8.89999961853027,0,97.8,24,14437,-9175,"2016-08-29 13:45:08","9 ms final",9,132.459475,8.99444234435139
"776",9529,151.227986984681,-33.9314910665756,10,-1.29999995231628,8.89999961853027,0,97.5,24,14423,-9288,"2016-08-29 13:45:09","9 ms final",9,133.960824,8.99444234435139
"777",9530,151.228084000959,-33.9315026441099,10,-1.29999995231628,8.89999961853027,0,97.7,24,14412,-9639,"2016-08-29 13:45:10","9 ms final",9,138.917268,8.99444234435139
"778",9531,151.228180112443,-33.9315149071188,9.89999961853027,-1.5,8.80000019073486,0,98.1,24,14437,-9091,"2016-08-29 13:45:11","9 ms final",9,131.246767,8.92692575061166
"779",9532,151.228275677825,-33.9315285898336,9.89999961853027,-1.5,8.89999961853027,0,98.4,24,14472,-8308,"2016-08-29 13:45:12","9 ms final",9,120.233376,9.02551899947249
"781",9534,151.228470600684,-33.9315536327499,9.89999961853027,-1.29999995231628,8.89999961853027,-0.100000001490116,97.6,24,14397,-10097,"2016-08-29 13:45:14","9 ms final",9,145.366509,8.99499822602313
"785",9538,151.228855996128,-33.931599105943,9.89999961853027,-1.29999995231628,8.89999961853027,0,97.6,24,14432,-8743,"2016-08-29 13:45:18","9 ms final",9,126.178976,8.99444234435139
"786",9539,151.228952246004,-33.9316114426334,9.89999961853027,-1.39999997615814,8.80000019073486,0,97.6,24,14454,-8597,"2016-08-29 13:45:19","9 ms final",9,124.261038,8.91066794859826
"803",9556,151.228604121983,-33.9315691423447,10.1000003814697,1.39999997615814,-8.80000019073486,0.100000001490116,-80.9,23,14401,-8532,"2016-08-29 13:45:36","9 ms final",9,122.869332,8.91122905611086
"804",9557,151.228507673446,-33.9315567230248,10.1999998092651,1.39999997615814,-8.89999961853027,0.100000001490116,-81,23,14349,-9822,"2016-08-29 13:45:37","9 ms final",9,140.935878,9.00999407010791
"805",9558,151.228410785874,-33.9315444721802,10.1999998092651,1.39999997615814,-8.89999961853027,0.100000001490116,-80.9,23,14325,-10622,"2016-08-29 13:45:38","9 ms final",9,152.16015,9.00999407010791
"806",9559,151.228314229098,-33.9315321207798,10.1999998092651,1.39999997615814,-8.89999961853027,0.100000001490116,-80.9,23,14343,-10300,"2016-08-29 13:45:39","9 ms final",9,147.7329,9.00999407010791
