id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Battery,Voltage,Current,Date,Method
998,151.227885422772,-33.931578499476,9.80000019073486,-1,-1,-1,33,14405,-12238,"2016-08-15 14:48:35","High speed 10"
999,151.22788198408,-33.9315811651677,9.69999980926514,-0.300000011920929,-0.300000011920929,-0.300000011920929,33,14405,-12238,"2016-08-15 14:48:36","High speed 10"
1000,151.227886834153,-33.9315772633809,9.69999980926514,0.200000002980232,0.200000002980232,0.200000002980232,33,14449,-11182,"2016-08-15 14:48:37","High speed 10"
1001,151.227915112469,-33.9315779866458,9.60000038146973,-0.5,-0.5,-0.5,33,14385,-13059,"2016-08-15 14:48:38","High speed 10"
1002,151.2279622326,-33.9315873803188,9.80000019073486,-1.10000002384186,-1.10000002384186,-1.10000002384186,33,14385,-13059,"2016-08-15 14:48:39","High speed 10"
1003,151.228017507451,-33.9315956912114,9.69999980926514,-0.5,-0.5,-0.5,32,14428,-11867,"2016-08-15 14:48:40","High speed 10"
1004,151.22807485576,-33.931595611694,9.80000019073486,0.200000002980232,0.200000002980232,0.200000002980232,32,14405,-11912,"2016-08-15 14:48:41","High speed 10"
1005,151.228083211825,-33.9315956750702,9.80000019073486,-0.100000001490116,-0.100000001490116,-0.100000001490116,32,14405,-11912,"2016-08-15 14:48:42","High speed 10"
1006,151.228079334136,-33.9315977651305,9.69999980926514,-0.100000001490116,-0.100000001490116,-0.100000001490116,32,14551,-8195,"2016-08-15 14:48:43","High speed 10"
1007,151.228080828549,-33.9315982343087,9.60000038146973,0,0,0,32,14529,-9067,"2016-08-15 14:48:44","High speed 10"
1008,151.228083619333,-33.9315989437707,9.60000038146973,0,0,0,32,14491,-9959,"2016-08-15 14:48:45","High speed 10"
1009,151.228081547873,-33.9315984069294,9.5,0.400000005960464,0.400000005960464,0.400000005960464,32,14506,-9940,"2016-08-15 14:48:46","High speed 10"
1010,151.228083454464,-33.9315877789288,9.69999980926514,2.29999995231628,2.29999995231628,2.29999995231628,32,14508,-9404,"2016-08-15 14:48:47","High speed 10"
1011,151.228094476574,-33.9315570001622,9.80000019073486,4.19999980926514,4.19999980926514,4.19999980926514,32,14459,-10723,"2016-08-15 14:48:48","High speed 10"
1012,151.228108383253,-33.9315092375233,9.80000019073486,5.80000019073486,5.80000019073486,5.80000019073486,32,14459,-10723,"2016-08-15 14:48:49","High speed 10"
1013,151.228126826528,-33.9314582164992,9.89999961853027,5.59999990463257,5.59999990463257,5.59999990463257,32,14281,-14974,"2016-08-15 14:48:50","High speed 10"
1014,151.228143971381,-33.9314221968732,9.80000019073486,1.29999995231628,1.29999995231628,1.29999995231628,32,14356,-13542,"2016-08-15 14:48:51","High speed 10"
1015,151.228142678481,-33.9314236699387,9.69999980926514,0,0,0,32,14356,-13542,"2016-08-15 14:48:52","High speed 10"
1016,151.228138819613,-33.9314270286184,9.89999961853027,-0.100000001490116,-0.100000001490116,-0.100000001490116,32,14539,-7638,"2016-08-15 14:48:53","High speed 10"
1017,151.228131003894,-33.9314289497563,10,0.300000011920929,0.300000011920929,0.300000011920929,32,14456,-10825,"2016-08-15 14:48:54","High speed 10"
1018,151.228100491098,-33.9314241332137,10,1,1,1,31,14422,-11617,"2016-08-15 14:48:55","High speed 10"
1019,151.228048461133,-33.9314121563557,10.1000003814697,1.5,1.5,1.5,31,14382,-12272,"2016-08-15 14:48:56","High speed 10"
1020,151.227985636103,-33.931398065065,10,1.60000002384186,1.60000002384186,1.60000002384186,31,14412,-12120,"2016-08-15 14:48:57","High speed 10"
1021,151.227935291714,-33.9313840591838,10,0.5,0.5,0.5,31,14427,-11350,"2016-08-15 14:48:58","High speed 10"
