id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,DroneHeading,Battery,Voltage,Current,Date,Method
9976,151.226822105284,-33.9312624003782,9.5,-2.59999990463257,3.90000009536743,0.100000001490116,-143.1,35,14478,-10893,"2016-08-29 14:10:41",circle
9977,151.226857890638,-33.9312963547683,9.5,-4.0,2.40000009536743,0.0,-117.9,35,14478,-10893,"2016-08-29 14:10:42",circle
9978,151.226872306892,-33.9313394922857,9.5,-4.69999980926514,0.300000011920929,0.0,-91.7,35,14452,-11183,"2016-08-29 14:10:43",circle
9979,151.226861889353,-33.9313835137491,9.5,-4.30000019073486,-1.70000004768372,0.0,-66.1,35,14426,-11564,"2016-08-29 14:10:44",circle
9980,151.226829925296,-33.9314191629792,9.5,-3.20000004768372,-3.40000009536743,0.100000001490116,-40.1,35,14426,-11564,"2016-08-29 14:10:45",circle
9981,151.226781784638,-33.9314401100232,9.5,-1.39999997615814,-4.5,0.0,-14.1,35,14411,-11996,"2016-08-29 14:10:46",circle
9982,151.22672683361,-33.9314415528957,9.5,0.699999988079071,-4.69999980926514,0.0,12.7,35,14441,-11587,"2016-08-29 14:10:47",circle
9983,151.2266768828,-33.9314219204985,9.5,2.70000004768372,-3.90000009536743,0.100000001490116,38.8,35,14469,-10949,"2016-08-29 14:10:48",circle
9984,151.226642006049,-33.9313856588848,9.60000038146973,4.19999980926514,-2.20000004768372,0.0,66.0,35,14422,-11609,"2016-08-29 14:10:49",circle
9985,151.226630915753,-33.931341287072,9.5,4.80000019073486,-0.100000001490116,0.0,92.4,35,14426,-11637,"2016-08-29 14:10:50",circle
9986,151.22664461739,-33.9312972460069,9.39999961853027,4.40000009536743,1.89999997615814,0.0,118.0,35,14426,-11634,"2016-08-29 14:10:51",circle
9987,151.226679616362,-33.9312625070367,9.39999961853027,3.0,3.59999990463257,0.0,144.0,35,14469,-10723,"2016-08-29 14:10:52",circle
9988,151.226730521715,-33.9312449630864,9.30000019073486,1.0,4.59999990463257,0.0,171.2,35,14456,-10817,"2016-08-29 14:10:53",circle
