id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,symbol
2671,151.2271288,-33.93120009,10.10000038,1.299999952,9.5,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.1,47,14446,-12450,59:02.6,10,no_icon
2672,151.2271288,-33.93120009,10.10000038,1.299999952,9.5,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.1,47,14446,-12450,59:02.6,10,no_icon
2673,151.2271503,-33.93119772,10.10000038,1.399999976,9.600000381,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.5,47,14462,-11802,59:02.7,10,no_icon
2674,151.2271608,-33.93119642,10.10000038,1.399999976,9.600000381,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.5,47,14462,-11802,59:02.8,10,no_icon
2675,151.2271719,-33.93119515,10.10000038,1.399999976,9.699999809,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.7,47,14462,-11802,59:02.9,10,no_icon
2676,151.2271825,-33.93119382,10.10000038,1.5,9.699999809,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.9,47,14462,-11802,59:03.1,10,no_icon
2677,151.2271932,-33.93119247,10,1.5,9.699999809,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.9,47,14462,-11802,59:03.1,10,no_icon
2678,151.2272041,-33.93119112,10.10000038,1.5,9.699999809,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.6,47,14462,-11802,59:03.2,10,no_icon
2679,151.2272148,-33.93118973,10.10000038,1.5,9.600000381,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.4,47,14462,-11802,59:03.3,10,no_icon
2680,151.2272253,-33.93118837,10.10000038,1.399999976,9.600000381,0,-102,-102,-102,-101,-101,-101,-102,-108,-8.4,47,14462,-11802,59:03.4,10,no_icon
2681,151.2272359,-33.93118698,10.10000038,1.399999976,9.600000381,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.3,47,14462,-11802,59:03.5,10,no_icon
2682,151.2272464,-33.93118564,10,1.399999976,9.699999809,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.4,47,14462,-11802,59:03.6,10,no_icon
