id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,symbol
2360,151.2268682,-33.93124402,10.10000038,0,-0.300000012,0,-99,-92,-100,-100,-100,-91,-100,-108,-7.4,73,14944,-10531,48:51.7,,no_icon
2361,151.2268679,-33.93124407,10,0,-0.200000003,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.3,73,14944,-10531,48:51.8,,no_icon
2362,151.2268675,-33.93124418,10,0,-0.100000001,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.3,73,14944,-10531,48:51.9,,no_icon
2363,151.2268674,-33.93124419,10,0,-0.100000001,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.3,73,14944,-10531,48:52.0,,no_icon
2364,151.2268672,-33.93124426,10,0,-0.100000001,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.2,73,14944,-10531,48:52.1,,no_icon
2365,151.226867,-33.9312443,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.1,73,14944,-10531,48:52.2,,no_icon
2366,151.2268669,-33.93124417,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7,73,14944,-10531,48:52.3,,no_icon
2367,151.2268668,-33.93124412,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-6.9,73,14944,-10531,48:52.4,,no_icon
2368,151.2268666,-33.93124407,10,0,0,-0.100000001,-95,-101,-97,-100,-101,-92,-98,-108,-7.1,73,14944,-10531,48:52.5,10,googleblank
2369,151.2268666,-33.93124401,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.2,73,14944,-10531,48:52.6,10,no_icon
2370,151.2268666,-33.9312439,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.3,73,14842,-12174,48:52.7,10,no_icon
